date,target
10/23/2022 13:25,105.579
10/23/2022 13:30,113.168
10/23/2022 13:35,113.072
10/23/2022 13:40,112.957
10/23/2022 13:45,118.414
10/23/2022 13:50,104.496
10/23/2022 13:55,120.383
10/23/2022 14:00,104.772
10/23/2022 14:05,112.116
10/23/2022 14:10,111.708
10/23/2022 14:15,119.297
10/23/2022 14:20,102.274
10/23/2022 14:25,113.9
10/23/2022 14:30,116.038
10/23/2022 14:35,105.005
10/23/2022 14:40,107.827
10/23/2022 14:45,108.619
10/23/2022 14:50,118.002
10/23/2022 14:55,117.629
10/23/2022 15:00,122.849
10/23/2022 15:10,129.151
10/23/2022 15:15,121.158
10/23/2022 15:20,106.813
10/23/2022 15:20,107.745
10/23/2022 15:25,114.769
10/23/2022 15:30,119.777
10/23/2022 15:35,113.375
10/23/2022 15:40,117.841
10/23/2022 15:45,104.367
10/23/2022 15:50,116.959
10/23/2022 15:55,103.77
10/23/2022 16:00,120.974
10/23/2022 16:05,107.698
10/23/2022 16:10,135.548
10/23/2022 16:15,105.905
10/23/2022 16:20,109.822
10/23/2022 16:25,112.19
10/23/2022 16:30,110.376
10/23/2022 16:35,105.659
10/23/2022 16:40,113.089
10/23/2022 16:45,111.895
10/23/2022 16:50,124.882
10/23/2022 16:55,111.378
10/23/2022 17:00,129.576
10/23/2022 17:05,108.958
10/23/2022 17:10,110.092
10/23/2022 17:15,107.355
10/23/2022 17:20,115.087
10/23/2022 17:25,111.189
10/23/2022 17:30,115.854
10/23/2022 17:35,105.462
10/23/2022 17:40,114.323
10/23/2022 17:40,103.355
10/23/2022 17:45,108.833
10/23/2022 17:50,111.532
10/23/2022 17:55,138.566
10/23/2022 18:00,137.01
10/23/2022 18:05,124.853
10/23/2022 18:10,120.855
10/23/2022 18:15,122.002
10/23/2022 18:20,107.339
10/23/2022 18:25,106.6
10/23/2022 18:30,121.245
10/23/2022 18:30,121.529
10/23/2022 18:35,116.493
10/23/2022 18:40,114.513
10/23/2022 18:45,121.742
10/23/2022 18:50,111.117
10/23/2022 18:55,111.49
10/23/2022 19:00,114.075
10/23/2022 19:05,121.84
10/23/2022 19:10,108.569
10/23/2022 19:15,122.166
10/23/2022 19:20,114.253
10/23/2022 19:30,116.658
10/23/2022 19:35,114.676
10/23/2022 19:40,109.71
10/23/2022 19:45,113.865
10/23/2022 19:55,112.112
10/23/2022 20:00,107.905
10/23/2022 20:00,108.822
10/23/2022 20:05,110.3
10/23/2022 20:10,122.987
10/23/2022 20:20,101.847
10/23/2022 20:25,104.999
10/23/2022 20:30,110.253
10/23/2022 20:35,121.317
10/23/2022 20:40,115.188
10/23/2022 20:45,103.65
10/23/2022 20:50,113.242
10/23/2022 20:55,103.576
10/23/2022 21:00,137.218
10/23/2022 21:05,113.149
10/23/2022 21:10,114.697
10/23/2022 21:15,113.337
10/23/2022 21:20,108.859
10/23/2022 21:25,109.721
10/23/2022 21:30,101.442
10/23/2022 21:35,111.011
10/23/2022 21:40,113.478
10/23/2022 21:45,105.362
10/23/2022 21:50,116.276
10/23/2022 21:55,113.113
10/23/2022 22:00,113.616
10/23/2022 22:05,115.384
10/23/2022 22:10,109.369
10/23/2022 22:15,109.605
10/23/2022 22:20,111.015
10/23/2022 22:25,126.921
10/23/2022 22:30,119.225
10/23/2022 22:40,114.091
10/23/2022 22:45,126.931
10/23/2022 22:50,114.94
10/23/2022 22:55,107.922
10/23/2022 23:00,107.266
